Точка,Название,Значение,Локализация
Bl31,Shangliao,"«Шан» 一 верхний; «ляо» 一 акупунктурная точка в углублении кости. Шан-ляо V.31 — верхняя из «восьми точек „ляом» (Шан-ляо V.31, Цы-ляо V.32, Чжун-ляо V.33 и Ся-ляо V.34 с двух сторон), расположенных в I—IV крестцовых отверстиях.",В I крестцовом отверстии .
Bl32,Ciliao,"«Цы» (次)一 второй, следующий; «ляо» (膠)一акупунктурная точка в углублении кости. Цы-ляо V.32 — вторая сверху из восьми точек ляо  (Шан-ляо V.31, Цы-ляо V.32, Чжун-ляо V.33 и Ся-ляо V.34 с двух сторон), расположенных в I—IV крестцовых отверстиях.",Во II крестцовом отверстии.
Bl33,Zhongliao,"«Чжун» 一средний, середина; «ляо» 一акупунктурная точка в углублении кости. Чжун-ляо V.33 — средняя из «восьми точек ляо (Шан-ляо V.31, Цы-ляо V.32, Чжун-ляо V.33 и Ся-ляо V.34 с двух сторон), расположенных в I—IV крестцовых отверстиях.",В III крестцовом отверстии.
Bl34,Xialiao,"Ся 一внизу, нижний ; ляо  (體)一акупунктурная точка в углублении кости . Ся-ляо V.34 — нижняя из «восьми точек ляо  (Шан-ляо V.31, Цы-ляо V.32, Чжун-ляо V.33 и Ся-ляо V.34 с двух сторон), расположенных в I—IV крестцовых отверстиях.",В IV крестцовом отверстии.
Bl35,Huiyang,"«Хуэй» (会)一 слияние; «ян» 一 Ян-каналы. В книге «Чжэнь цзю цзя и цзин» (Канон основ иглоукалывания и прижигания, 282 г.) название точки объясняется следующим образом: Хуэй-ян V.35 — с двух сторон копчика, здесь появляется Ци сосуда Ду-май. То есть ножной тай-ян канал мочевого пузыря, к которому относится точка, и сосуд Ду-май являются Ян-каналами, поэтому точка и называется «слияние Ян». Следует отметить, что Хуэй-ян V.35 не считается точкой пересечения канала мочевого пузыря и сосуда Ду-май.","На 0,5 цуня кнаружи от нижнего края копчика."
Bl36,Chengfu,"«Чэн»  — «получать»; «фу»  — «подпирать, поддерживать». Точка расположена в области «подпирающего тело основания бедра», то есть в месте расположения точки туловище «получает опору».","В центре ягодичной складки. Находят и используют точку, когда пациент лежит на животе."
Bl37,Yinmen,"«Инь» (殷)—обильный; середина»; «мэнь»  — вход, ворота. В месте расположения этой точки обильный мышечный слой, она расположена между точками Вэй-чжун V.40 и Чэн-фу V.36, словно в воротах.","На линии, соединяющей точки Чэн-фу V.36 и Вэй-чжун V.40, на б цуней ниже точки Чэн-фу V.36."
Bl38,Fuxi,"«Фу»  — «поверхностный»; «си»  — «щель». Точка может использоваться при лечении онемения и судорог по ходу канала мочевого пузыря, вызванных проникновением патогенного ветра в поверхностную часть тела, расположена в «щели» у медиального края сухожилия двуглавой мышцы бедра.","На 1 цунь выше точки Вэй-ян V.39, у медиального края сухожилия двуглавой мышцы бедра, находят и используют точку при слегка согнутой в коленном суставе ноге."
Bl39,Weiyang,"«Вэй» (委)一точка Вэй-чжун V.40，а также «изгиб», образующийся при сгибании колена, в середине которого расположена точка Вэй-чжун V.40; «ян»  — наружная Ян-сторона тела. Точка расположена кнаружи (к Ян-стороне) от Вэй-чжун V.40, отсюда и название.","На наружном крае подколенной складки, с внутреннего края сухожилия двуглавой мышцы бедра."
Bl40,Weizhong,"Вэй» (委)——изгиб; «чжун» —середина. Точка расположена в середине изгиба, образующегося при сгибании колена","В центре подколенной складки, между сухожилиями двуглавой мышцы бедра и полуперепончатой мышцы. Используют и находят точку при согнутой в колене ноге или когда пациент лежит на животе."
Bl41,Fufen,"Фу» (附)——《дополнительный, побочный»; «фэнь» (分)——«ответвление». Ножной тай-ян канал мочевого пузыря разделяется на задней части шеи. Одна ветвь идет на расстоянии 1,5 цуня от задней срединной линии, вторая — на расстоянии 3 цуня от задней срединной линии. Фу- фэнь V.41 является первой точкой второй ветви — «дополнительного, побочного ответвления».",На 3 цуня кнаружи от места под остистым отростком II грудного позвонка. 
Bl42,Pohu,"По (魄)一земная душа По ; ху (户)一дверью . Земная душа По хранится в Ци, управляется легкими. Точка По-ху V.42 расположена на одном уровне с Фэй-шу V.13 — шу-точкой спины легких, поэтому и сравнивается с «дверью земной души По», которая управляется легкими.",На 3 цуня кнаружи от места под остистым отростком III грудного позвонка.
Bl43,Gaohuangshu,"Гао (膏)一жир; хуан (育)——оболочка.Гао хуан» — древний анатомический термин, обозначающий жировую оболочку между сердцем и диафрагмой. Точка расположена на одном уровне с Цзюэ-инь-шу V.14 — шу-точкой спины перикарда, который связан с областью «гао хуан». Выражение «болезнь проникла в гао хуанприменяется в китайском языке, когда речь идет о длительной и трудноизлечимой болезни, точка используется при лечении тяжелых случаев истощения и недостатка Ци, когда болезнь проникла в гао хуан.",На 3 цуня кнаружи от места под остистым отростком IV грудного позвонка.
Bl44,Shentang,"«Шэнь» (神)——«жизненный дух Шэнь»; «тан» (堂)—«зал». Точка расположена на одном уровне с Синь-шу V.15 — шу-точкой спины сердца. Сердце хранит жизненный дух Шэнь, поэтому точка Шэнь-тан V.44 сравнивается с «залом жизненного духа Шэнь».",На 3 цуня кнаружи от места под остистым отростком V грудного позвонка.
Bl45,Yixi, «И-си» (讀請)一 звук вздоха (ср. Ах! Ох!). Укалывание или пальпация этой точки могут быть болезненными и вызвать у пациента звук вздоха.,На 3 цуня кнаружи от места под остистым отростком VI грудного позвонка.
Bl46,Geguan,«Гэ» (脑)一диафрагма; «гуань» (关)——заслон. Точка словно  заслон» расположена кнаружи от Гэ-шу V.17 — так называемой  шу-точки диафрагмы.,На 3 цуня кнаружи от места под остистым отростком VII грудного позвонка.
Bl47,Hunmen,"«Хунь» (魂)一 небесная душа Хунь; «мэнь» 一ворота. Небесная душа Хунь хранится в крови, управляется печенью. Точка расположена на одном уровне с Гань-шу V.18 — шуточкой спины печени, поэтому сравнивается с «воротами небесной души Хунь», которая управляется печенью.",На 3 цуня кнаружи от места под остистым отростком IX грудного позвонка.
Bl48,Yanggang,"Ян» 一 Ян-органы; «ган» (会同)—главнокомандующий. Фу-органы относятся к Ян. Точка расположена на одном уровне с Дань-шу V.19 — шу-точкой спины желчного пузыря, которая является первой среди шу-точек спины фу-органов на отрезке канала мочевого пузыря, проходящем на 1,5 цуня кнаружи от задней срединной линии, словно «главнокомандующий» во главе «войска» шу-точек спины фу-органов, относящихся к Ян.",На 3 цуня кнаружи от места под остистым отростком X грудного позвонка .
Bl49,Yishe,"И (意)一 мысли; шэ (舍)一 дом，жилище. Селезенка хранит мысли (脾藏 意).Точка расположена на одном уровне с Пи-шу V.20 — шу-точкой спины селезенки, способствует укреплению Ци селезенки, поэтому и сравнивается с «жилищем мыслей»",На 3 цуня кнаружи от места под остистым отростком XI грудного позвонка.
Bl50,Weicang,"Вэй» (胃)— желудок ; «цан» (仓)一 амбар.Желудок является «органом-амбаром» (仓虜之官).Вэй-цан V.50 расположена на одном уровне с Вэй-шу V.21 — шу-точкой спины желудка, используется при лечении болезней желудка, отсюда и название.",На 3 цуня кнаружи от места под остистым отростком XII грудного позвонка.
Bl51,Huangmen,"Хуан  — «оболочка»; мэнь — «ворота». Хуан-мэнь V.51 расположена на одном уровне с Сань-цзяо-шу V.22 — шу-точкой спины Сань-цзяо. Точка Хуан-мэнь V.51 сравнивается с «воротами», через которые проходит Ци Сань-цзяо, «пропаривая оболочку живота» — брюшину.",На 3 цуня кнаружи от места под остистым отростком I поясничного позвонка.
Bl52,Zhishi,"Чжи  — устремления, воля; ши  — комната.Почки хранят устремления. Точка расположена на одном уровне с Шэнь-шу V.23 — шу-точкой спины почек, способствует восполнению Ци почек, поэтому и сравнивается с «комнатой устремлений.",Локализация. На 3 цуня кнаружи от места под остистым отростком II поясничного позвонка.
Bl53,Baohuang,"«Бао» (月包)—«мочевой пузырь»; «хуан» (盲)——«оболочка». Точка расположена на одном уровне с Пан-гуан-шу V.28 — шу-точкой спины мочевого пузыря, внутри — серозная оболочка мочевого пузыря. Кроме того, точка используется при лечении болезней мочевого пузыря.",На 3 цуня кнаружи от места под остистым отростком II крестцового позвонка.
Bl54,Zhibian,"Чжи» (秩)一порядок, последовательность; «бянь» (边)——край. Начиная с Фу- фэнь V.41, точки ножного тай-ян канала мочевого пузыря расположены по порядку в ряд на спине на расстоянии 3 цуня кнаружи от задней срединной линии. Чжи-бянь V.54 находится на самом нижнем крае этой последовательности точек.",На 3 цуня кнаружи от места под остистым отростком IV крестцового позвонка.
Bl55,Heyang," Хэ (合)——соединяться; Ян 一 Ян- канал. Две ветви ножного тай-ян канала мочевого пузыря (Ян-канала) соединяются в подколенной ямке. Хэ-ян V.55 расположена на 2 цуня ниже подколенной ямки, отсюда и название.","Между головками икроножной мышцы, на 2 цуня прямо вниз от середины подколенной ямки — точки Вэй-чжун V.40."
Bl56,Chengjin,"«Чэн» (承)— подпирать; «цзинь» (筋)— мышцы канала . Точка расположена между головками икроножной мышцы в месте прохождения мышц ножного тай-ян канала мочевого пузыря. Может использоваться при лечении различных мышечных нарушений в местах прохождения мышц канала в подмышечной области, спине, пояснице, икроножной мышце, она словно «подпирает» мышцы ножного канала тай-ян.","Между головками икроножной мышцы, на середине линии, соединяющей точки Хэ-ян V.55 и Чэн-шань V.57."
Bl57,Chengshan,"1. «Чэн» (承)——поддерживать, подпирать; «шань» — «гора». Точка расположена в месте соединения головок икроножной мышцы, напоминающем ущелье, словно подпирает «гору».2. «Чэн» (承)—поддерживать, подпирать; «шань» —«гора». Вес тела человека можно сравнить с тяжестью горы. Точка расположена в месте соединения головок икроножной мышцы, особенно хорошо просматривается, если встать на цыпочки. Точка словно подпирает «гору» — тяжесть тела.","На середине расстояния между точками Вэй-чжун V.40 и Кунь-лунь V.60, в месте соединения головок икроножной мышцы."
Bl58,«Фэй ян»,"«Фэй ян» — «взлететь, взметнуться». Коллатераль ножного тай-ян канала мочевого пузыря отходит («взлетает») от точки Фэй-ян Bl58 и соединяется с ножным шао-инь каналом почек.",на 7 цуней прямо кверху от точки Кунь-лунь Bl60 (в углублении между латеральной лодыжкой и пяточным сухожилием)
Bl59,Fuyang,1. «Фу» — тыл стопы; «ян» — наружная Ян-сторона тела. Точка расположена на Ян-стороне тела возле тыла стопы.2. «Фу» 一сближаться вплотную; «ян» 一Ян-каналы. 丁очка расположена в месте， где «вплотную сближаются Ян-каналы» — ножной тай-ян канал мочевого пузыря и ножной шао-ян канал желчного пузыря.,"На 3 цуня прямо кверху от точки Кунь-лунь V.60, у заднего края малоберцовой."
Bl60,Kunlun,"Кунь-лунь — горный хребет на западе Китая, китайский Олимп, обитель небожителей.Точка расположена сзади латеральной лодыжки, которая сравнивается с горами Кунь-лунь.",В углублении между латеральной лодыжкой и пяточным сухожилием .
Bl61,Pucan,"Пу - слуга;  цань — поклон. Удобнее всего находить и использовать эту точку, когда пациент сгибает ноги в коленях, как в древности слуга кланялся господину, поэтому точка и называется «поклон слуги».","На наружной поверхности пятки, в углублении пяточной кости, кзади и книзу от латеральной лодыжки, вертикально вниз от точки Кунь-лунь V.60."
Bl62,Shenmai,"«Шэнь»  — «разгибать»; «май» — «сосуды». Точка может использоваться при лечении судорог, ее укалывание способствует восстановлению свободной циркуляции в сосудах, чтобы мышцы могли свободно разгибаться.",В углублении у нижнего края латеральной лодыжки.
Bl63,Jinmen,"1. «Цзинь» — «золотой»; «мэнь»  — «ворота». Цзинь-мэнь V.63 — точка-щель ножного тай-ян канала мочевого пузыря, является важной точкой «золотыми воротами», где собираются Ци и кровь канала мочевого пузыря.2. «Цзинь» — «золотой»; «мэнь»  — «ворота». Сосуд Ян-вэй-май выходит на поверхность в точке Цзинь-мэнь V.63. Точку можно сравнить с «золотыми воротами», через которые можно «проникнуть» в сосуд Ян-вэй-май.","Кпереди и книзу от точки Шэнь-май V.62, в углублении у латерального края кубовидной кости."
Bl64,Jinggu,"Цзин (京)-столица ;  гу (胃 ) - кость . «Цзин гу» 一 древнее название бугри- стости V плюсневой кости, возле которой расположена точка.","На наружной поверхности стопы, в углублении кпереди и книзу от бугристости V плюсневой кости, на границе тыльной и подошвенной поверхности стопы."
Bl65,Shugu," «Шу-гу» 束胃  一 древнее название V плюснефалангового сустава, возле которого расположена точка.","В углублении кзади и книзу от головки V плюсневой кости, на границе тыльной и подошвенной поверхности стопы."
Bl66,Zutonggu,"Цзу (足)一нога; тун (通)— проходить ; гу (谷) — углубление, впадина». Цзу-тун-гу V.66 расположена в углублении на ноге, в месте прохождения ножного тай-ян канала мочевого пузыря.","В углублении кпереди и книзу от V плюснефалангового сустава, на границе тыльной и подошвенной поверхности стопы."
Bl67,Zhiyin,"Чжи» (至)一 достигать, доходить до; «инь» (阴) — Инь-канал». Чжи-инь V.67 — последняя точка ножного тай-ян канала мочевого пузыря, достигнув которой канальная Ци переходит в Инь-канал — ножной шао-инь канал почек.","На наружной стороне V пальца стопы, приблизительно на 0,1 цуня от угла ногтя."
DuMai1,Changqiang,"1. «Чан» (长)—«длинный»; «цян» (强)一 «сильный». Чан-цян VG.1 — первая точка сосуда Ду-май, который поднимается по позвоночнику к макушке, является «длинным» сосудом, обладающим «сильным» действием.2. «Чан» (长)—«славиться, превосходить других в чем-либо»; «цян» (强)—«сильный и процветающий». Ду-май ——«море всех Ян-сосудов», место, где собирается Ци всех Ян-каналов, поэтому он «славится» Ян. Чан-цян VG.1 — первая точка сосуда Ду-май, начало «сильной и процветающей» чистой Ян.","В углублении на 0,5 цуня книзу от вершины копчика, на средине расстояния между копчиком и анусом. Используют точку, когда пациент лежит на животе."
DuMai2,Yaoshu,"«Яо» (腰) — «поясница»; «шу» (俞) 一 «акупунктурная точка». Точка Яо-шу VG.2 расположена в области поясницы, используется при лечении различных болезней поясницы.",В середине крестцовой щели.
DuMai3,Yaoyangquan,"«Яо» (腰) — «поясница»; «ян» (陽) — «Ян-Ци»; «гуань» (關) — «засов». Точка расположена в области поясницы — «дворца почек», относится к сосуду Ду-май — «морю всей Ян-Ци», расположена на 1 позвонок ниже точки Мин-мэнь VG.4, связанной с «вратами жизни» (Ян почек), ее можно сравнить с «засовом вратАа жизни».",Под остистым отростком IV поясничного позвонка.
DuMai4,Mingmen,"Мин» (命)一 жизнь,мэнь;(門) — ворота, дверь. В китайской медицине врата жизни это место хранения врожденной квинтэссенции Цзин и Ци, источник рождения и корень жизни. Считается, что «врата жизни» — это движение Ци между почками, а огонь врат жизни Ян почек. Точка Мин-мэнь VG.4 расположена между двумя точками Шэнь-шу V.23  шу-точками спины почек, используется при лечении недостатка Ци и Ян почек так называемого ослабления огня врат жизни, отсюда и название.",Под остистым отростком II поясничного позвонка.
DuMai5,Xuanshu,"«Сюань» (懸) — «висеть, быть подвешенным»; «шу» (樞) — «важный, главный». Сюань- шу VG.5 расположена под остистым отростком I поясничного позвонка, между двумя точками Сань- цзяо-шу V.22 — шу-точками спины Сань-цзяо, на которых она словно «подвешена». Кроме того, когда человек лежит на спине, область нескольких поясничных позвонков не достигает кровати. Точка Сюань-шу VG.5 расположена как раз в середине этой области, словно «подвешена». Сань-цзяо важнейший орган трансформации Ци, отсюда и название.",Под остистым отростком I поясничного позвонка.
DuMai6,Jizhong,"«Цзи» (脊) — «позвоночник»; «чжун» (中) — «середина». В древности термином «цзи» (脊）обозначались грудной, поясничный и крестцовый отделы позвоночника (всего 22 позвонка). Точка Цзи-чжун VG.6 расположена под остистым отростком XI грудного позвонка, то есть «в середине позвоночника».",Под остистым отростком XI грудного позвонка.
DuMai7,Zhongshu,"Чжун (中)-середина; шу (樞)- ось, стержень. В древности считалось, что позвоночник состоит из 21 позвонка (грудной, поясничный и крестцовый отделы позвоночника). Точка расположена между X и XI позвонками, то есть в середине позвоночника, словно «стержень».",Под остистым отростком X грудного позвонка.
DuMai8,Jinsuo,"Цзинь» (筋) — «сухожилия»; «шо» (縮) — «сжиматься, сокращаться». Цзинь-со VG.8 расположена под остистым отростком IX грудного позвонка, между двумя точками Гань-шу V.18 шу-точками спины печени. Печень управляет сухожилиями. Точка Цзинь-со VG.8 может использоваться при лечении судорог, когда сжимаются сухожилия.",Под остистым отростком IX грудного позвонка.
DuMai9,Zhiyang,"«Чжи» (至) — «достигать, доходить до»; «ян» (陽) — «Ян-часть тела». Спина и верхняя часть туловища относятся к Ян-частям тела. Верхняя часть позвоночника — это «Ян в Ян» (самая Ян среди Ян). Сосуд Ду-май поднимается снизу вверх, достигает точки Чжи-ян VG.9  начала области «Ян в Ян».","Под остистым отростком VII грудного позвонка, приблизительно на уровне нижнего края лопатки, на уровне точки Гэ-шу V.17."
